id,title,plot
161,Mandela and de Klerk,"On June 12, 1964, Nelson Mandela, along with numerous political detainees, was sentenced to life imprisonment in what remains the most sensational treason trial in the history of South Africa. The incarceration of Mandela and other political prisoners on Robben Island would become a symbol of the struggle to end apartheid and win freedom for the black majority in South Africa. On February 2, 1990, President F.W. De Klerk stood before Parliament and announced the legalization of the African National Congress and a host of other banned political organizations. At the same time, he announced that Nelson Mandela, having served twenty-seven years in prison, would be released within seven days. Yet the world, and indeed most South Africans, knew little about how this momentous occasion came to pass. Until now. This movie was filmed in South Africa. Most of the locations are those where the actual events took place, and the dramatized sequences are augmented with newsreel footage to ensure the most accurate portrayal possible of recent historical events.::Echo Bridge Home Entertainment"
162,Bent,"On his latest private investigation, a shamed former cop connects a murder case to a government conspiracy involving rogue agents from a top spy agency."
163,Cut and Run,A reporter and her cameraman connect a surviving Jonestown leader and a TV exec's missing son to a drug war where jungle installations are being massacred by an army of natives and a skilled white assassin.
164,Ju-Rei: The Uncanny,Japanese school girls die violently after seeing a man wearing a black hood.
165,Modern Vampires,A borderline fascistic Dr. Van Helsing unwittingly hires crack smoking gang-bangers to pursue the decadent vampires who secretly control Hollywood and the United States.
166,Ghosts of Rwanda,"Story of Rwandian genocide in 1994, 800.000 people were slaughtered by their own goverment."
167,Storefront Hitchcock,"In this film, director Jonathan Demme documents a live performance by Robyn Hitchcock, an English singer-songwriter."
168,Deftones Live in Hawaii,
169,Three Smart Saps,Weddings are paused for the stooges who are engaged to the daughters of a prison warden. He has been framed by criminals and convicted. They make entry to the prison and find the crooks running a casino. They need photos to expose them.
170,The Rolling Stones Rock and Roll Circus,The Rolling Stones Rock and Roll Circus was filmed before a live audience at a North London TV studio.
171,Tremors 4: The Legend Begins,"A prequel to Tremors (1990), this movie tells us about how the town of Perfection, Nevada became founded and how they defended it against the Graboids with the help of Burt Gummer's ancestor, Hiram."
172,French and Saunders,"This BBC comedy skit show is the brainchild of longtime comedy duo Dawn French and Jennifer Saunders. Each episode featured satire on British life, television, and parodies on big box-office movies such as Batman Forever (1995) and Pulp Fiction (1994). The duo also invited notable Brits such as Patsy Kensit, Lulu, and Kate Moss.::Pat McCurry <ccgrad97@aol.com>"
173,Star Trek Voyager: Phage - ECMO Won't be the Hot Cleanse of the Season,"Johnny and Jackson discuss Star Trek: Voyager S01E05: ""Phage,"" wherein Neelix's lungs are removed and he needs holographic replacements."
174,Up and Down,"The discovery of an abandoned child by two smugglers kicks into a gear a series of tragic, comic events."
175,Bing feng qi xia,
176,"Dr. Quinn, Medicine Woman",The trials and adventures of a female doctor in a small Wild West town.
177,Afula Express,"David is a garage electrician, who dreamt all of his life of becoming a magician, but had no luck in it. His girlfriend Batya wants an ordinary life, but David is still looking for his dream, so he links up with Romanian immigrant Shimon, who is an expert magician.::Anonymous"
178,Hellhole Women,"A newly-wed couple in love finds a seemingly desolate place to park the car and make love. Soon, they will face the fearsome warden Magda Urtado's cruel reality."
179,The Sinful Nuns of Saint Valentine,"Lucita has been locked away in a convent by her family in order to keep her away from her lover, Esteban. The pair make plans to elope, but Esteban is accused of heresy before Lucita can escape. Hiding in the convent, Esteban discovers the horrifying depravity of the convent's abbess, Sister Incarnation. Can Esteban rescue his love from this madhouse before the inquisitor discovers what is going on and has everyone executed?::Jean-Marc Rocher <rocher@fiberbit.net>"
180,The Absolutely Fabulous Show,Claire is celebrating her 20th wedding anniversary by renewing her vows. She's hunting for a frock that leaves everyone speechless.
181,Tourfilm: R.E.M.,
182,Essay,
183,Jeans,The father of twin brothers wants to get them married to only twin sisters. But one of the brothers falls in love with a woman does not have a twin sister.
184,Third World Cop,"A police officer returns to his neighborhood in Kingston, Jamaica to find himself in conflict with his childhood friend who is now the right-hand-man of the local gang-lord in a gun-running racket. Jamaica's highest-grossing film to date."
185,The Little Girl Who Lives Down the Lane,"13-year-old Rynn Jacobs lives alone in a high-class Quebec small town, but unknown to the neighbors, she is leading a secret and dangerous life."
186,9 Dead Gay Guys,Two Irish lads stumble through London's gay scene.
187,Genesis: The Way We Walk - Live in Concert,"A concert that was filmed during the tour for Genesis' 1991 album ""We Can't Dance""."
188,The Dick Francis Thriller: The Racing Game,The cases of a disabled jockey turned private detective specializing in investigations involving horse racing.
189,Buried in the Sand: The Deception of America,Conservative political commentator Mark Taylor presents uncensored archival footage of graphic Iraqi and Middle East atrocities in an effort to justify American intervention.
190,Carmen,"Based on the novel by Prosper Merimee, CARMEN is the classic tale of forbidden passion between a young man (Leonardo Sbaraglia) and a spoken-for woman, Carmen (Paz Vega). It is told in flashback as the young soldier, stripped of his decorations, explains all in a prison cell. He tells of the love he had for Carmen and how it proved to be destructive.::Anonymous"
191,Steal,A gang of extreme sportsmen raises the stakes in their criminal activities.
192,Mario and Luigi's Stupid and Dumb Adventures Season 2 Episode 6: Crazy Monkey,
193,Heartbeat,"The 1960s lives and adventures of the police constabulary, medical staff, and residents of Ashfordly and Aidensfield."
194,Complete Collection,
195,In the Realm of the Senses,"A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship."
196,Pan Tadeusz: The Last Foray in Lithuania,"In the early 1810s, Poles, part of Russia's client state of Lithuania, think independence will come if they join forces with Napoleon when he invades Russia. This unity of purpose, in one district, is undermined by two families, feuding since the head of one shot the head of the other twenty years before. There are hopes of a reconciliation through a marriage of Pan Tadeusz, a Soplica, whose father, the murderer, is in hiding somewhere, and Zosia, a teen-aged girl, a Horeszko who lives in the household of Pan's uncle. Other cross-currents - of love, family, politics, village traditions, land reform, and what it means to be Polish - give the film texture. It's an exile's story.::<jhailey@hotmail.com>"
197,The Substitute: Failure Is Not an Option,"Former mercenary Karl Thomasson returns once again as a substitute teacher, this time to infiltrate a military school's faculty to cease the actions of white supremacists."
198,Wings of Desire,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
199,"Ebirah, Horror of the Deep","A teen searching for his brother stows away on a criminal's boat that shipwrecks on Letchi island, where terrorists have enslaved the Infant Island natives. Discovering Godzilla asleep, they decide to awaken him to liberate the natives."
200,Frank Lloyd Wright,A biography of the life and work of the American architect.
201,Reign in Darkness,"Molecular biologist Michael Dorn is accidentally infected with a new virus he is developing, turning him and its other victims into a new breed of vampire."
202,George Lopez: Why You Crying?,"George will take you on a liberating, comedic journey hysterically dissecting his life growing up in a Hispanic family in Los Angeles. You will be swept along for the ride when Lopez reminisces about quirks in the Mexican culture, tackling such taboo topics as family relationships, insecurities, and unique language."
